,query,reference_contexts,reference_answer,reference_answer_by,query_by
0,What is being celebrated at the Convento de Religiosas Capuchinas on the fifth day of prayer?,"['Hoy se celebra el quinto día de Oración en el Convento de Religiosas Capuchinas para dar gracias por el feliz parto de la Reina nuestra Señora, con la asistencia de la comunidad de eclesiásticos. El acto comienza a las 10 de la mañana.']",,None,ai (gpt-3.5-turbo)
1,Who is the community that will be in attendance at the event in the Convento de Religiosas Capuchinas?,"['Hoy se celebra el quinto día de Oración en el Convento de Religiosas Capuchinas para dar gracias por el feliz parto de la Reina nuestra Señora, con la asistencia de la comunidad de eclesiásticos. El acto comienza a las 10 de la mañana.']",,None,ai (gpt-3.5-turbo)
2,At what time does the act celebrating the happy birth of the Queen our Lady begin at the Convento de Religiosas Capuchinas?,"['Hoy se celebra el quinto día de Oración en el Convento de Religiosas Capuchinas para dar gracias por el feliz parto de la Reina nuestra Señora, con la asistencia de la comunidad de eclesiásticos. El acto comienza a las 10 de la mañana.']",,None,ai (gpt-3.5-turbo)
3,How many hectares of farmland does the tenant have in total?,"['Supongamos que un arrendatario tiene 3200 hectáreas de tierras de cultivo; cada año, siembra la mitad y las demás que quedan sin cultivar y se utilizan como alimento para setenta a cien carneros.']",,None,ai (gpt-3.5-turbo)
4,What is the annual farming practice of the tenant with the farmland?,"['Supongamos que un arrendatario tiene 3200 hectáreas de tierras de cultivo; cada año, siembra la mitad y las demás que quedan sin cultivar y se utilizan como alimento para setenta a cien carneros.']",,None,ai (gpt-3.5-turbo)
5,How many sheep are fed with the remaining uncultivated land on the farm?,"['Supongamos que un arrendatario tiene 3200 hectáreas de tierras de cultivo; cada año, siembra la mitad y las demás que quedan sin cultivar y se utilizan como alimento para setenta a cien carneros.']",,None,ai (gpt-3.5-turbo)
6,Where should the interested person go to discuss the price of the house mentioned in the text?,"['La persona interesada en verla para discutir su precio debe ir a la tienda de D. Manuel Blanco, que vive en la calle de Fuencarral, n. 5. Él informará sobre el Notario encargado de la venta de dicha casa, para poder verificarla con el mejor postor.']",,None,ai (gpt-3.5-turbo)
7,Who is the person that will provide information about the Notary in charge of the sale of the house?,"['La persona interesada en verla para discutir su precio debe ir a la tienda de D. Manuel Blanco, que vive en la calle de Fuencarral, n. 5. Él informará sobre el Notario encargado de la venta de dicha casa, para poder verificarla con el mejor postor.']",,None,ai (gpt-3.5-turbo)
8,"What is the address of D. Manuel Blanco, who can provide details about the sale of the house on Fuencarral street?","['La persona interesada en verla para discutir su precio debe ir a la tienda de D. Manuel Blanco, que vive en la calle de Fuencarral, n. 5. Él informará sobre el Notario encargado de la venta de dicha casa, para poder verificarla con el mejor postor.']",,None,ai (gpt-3.5-turbo)
9,What are the roles and responsibilities of the guards and laborers in the parks according to the information provided?,"['Los guardas y peones de los paseos tienen autorización para evitar que se cometan excesos. En ese caso, podrán confiscar prendas y reportar inmediatamente a un Regidor comisionado para que tome las medidas necesarias conforme a la justicia.']",,None,ai (gpt-3.5-turbo)
10,What actions are authorized for the guards and laborers to take in order to prevent excesses in the parks?,"['Los guardas y peones de los paseos tienen autorización para evitar que se cometan excesos. En ese caso, podrán confiscar prendas y reportar inmediatamente a un Regidor comisionado para que tome las medidas necesarias conforme a la justicia.']",,None,ai (gpt-3.5-turbo)
11,"How are confiscated items handled by the guards and laborers, and what steps are taken to ensure justice is served in such situations?","['Los guardas y peones de los paseos tienen autorización para evitar que se cometan excesos. En ese caso, podrán confiscar prendas y reportar inmediatamente a un Regidor comisionado para que tome las medidas necesarias conforme a la justicia.']",,None,ai (gpt-3.5-turbo)
